No,Family,Name_S,Name_C,Endemic,西元年,Month,Date,Region,X坐標,Y坐標,數量
305,蛺蝶科,Hypolimnas bolina kezia,琉球紫蛺蝶,,2014,8,25,新店溪,302601,2768047,1
306,蛺蝶科,Hypolimnas bolina kezia,琉球紫蛺蝶,,2014,8,25,關渡水岸公園,296594,2779557,1
307,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,8,25,新店溪,299483,2768546,1
308,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,8,25,淡水河,300946,2771482,1
309,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,9,28,新店溪,299255,2769000,1
310,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,9,28,淡水河,301145,2771940,1
311,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,9,28,淡水河,300272,2776071,1
312,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,10,16,新店溪,299518,2767961,1
313,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,10,16,新店溪,302848,2767865,1
314,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,10,16,新店溪,303671,2766956,1
78,蛺蝶科,Polygonia c-aureum lunulata,黃蛺蝶,特有亞種,2014,5,24,新店溪,301140,2768169,1
316,蛺蝶科,Danaus genutia,黑脈樺斑蝶,,2014,9,28,新店溪,301503,2768377,8
317,蛺蝶科,Argyreus hyperbius,黑端豹斑蝶,,2014,9,28,新店溪,302703,2767959,1
318,蛺蝶科,Argyreus hyperbius,黑端豹斑蝶,,2014,9,28,淡水河,301337,2773412,1
79,蛺蝶科,Polygonia c-aureum lunulata,黃蛺蝶,特有亞種,2014,5,24,新店溪,304001,2766376,1
92,蛺蝶科,Polygonia c-aureum lunulata,黃蛺蝶,特有亞種,2014,5,24,淡水河,300593,2770869,1
321,粉蝶科,Appias lyncida eleonora,臺灣粉蝶,,2014,8,25,淡水河,301306,2772879,1
322,粉蝶科,Appias lyncida eleonora,臺灣粉蝶,,2014,9,28,新店溪,302890,2767799,1
323,粉蝶科,Appias lyncida eleonora,臺灣粉蝶,,2014,10,16,淡水河,300512,2775865,1
324,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,8,25,新店溪,303543,2767023,1
325,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,8,25,新店溪,301318,2768332,1
326,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,8,25,新店溪,300346,2767448,2
327,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,8,25,新店溪,299821,2767256,2
328,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,8,25,新店溪,299124,2769796,1
329,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,8,25,淡水河,301315,2772960,2
330,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,8,25,關渡水岸公園,296594,2779557,1
331,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,9,28,新店溪,299977,2767273,1
332,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,9,28,淡水河,301132,2774990,1
333,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,9,28,淡水河,300824,2775546,1
334,粉蝶科,Catopsilia pomona,銀紋淡黃蝶,,2014,9,28,淡水河,300824,2775546,1
335,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,淡水河,300202,2776167,1
336,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,11,23,淡水河,300202,2776167,1
337,粉蝶科,Appias lyncida eleonora,臺灣粉蝶,,2014,11,23,淡水河,300853,2775513,1
315,蛺蝶科,Polygonia c-aureum lunulata,黃蛺蝶,特有亞種,2014,9,28,新店溪,299530,2768056,1
339,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,301081,2775124,1
340,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,淡水河,301126,2775008,1
341,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,301334,2773995,6
342,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,301345,2773903,6
343,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,301362,2773740,6
344,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,301328,2773242,6
345,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,301276,2772567,3
346,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,301035,2771659,9
365,蛺蝶科,Polygonia c-aureum lunulata,黃蛺蝶,特有亞種,2014,11,23,新店溪,299228,2769311,1
348,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,11,23,淡水河,301035,2771659,6
349,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,300978,2771588,11
350,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,300900,2771331,19
351,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,11,23,淡水河,300900,2771331,21
352,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,300815,2771145,21
353,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,11,23,淡水河,300815,2771145,11
354,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,淡水河,300218,2770365,1
355,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,300218,2770365,3
356,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,11,23,淡水河,299687,2770114,1
357,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,299687,2770114,6
358,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,淡水河,299415,2769931,11
359,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,299114,2769758,16
382,蛺蝶科,Polygonia c-aureum lunulata,黃蛺蝶,特有亞種,2014,11,23,新店溪,300400,2767422,1
361,蛺蝶科,Argyreus hyperbius,黑端豹斑蝶,,2014,11,23,新店溪,299114,2769758,1
362,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,299111,2769410,1
363,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,299111,2769410,15
364,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,299228,2769311,5
412,蛺蝶科,Polygonia c-aureum lunulata,黃蛺蝶,特有亞種,2014,11,23,新店溪,303026,2767517,1
366,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,11,23,新店溪,299228,2769311,1
367,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,299303,2768903,1
368,鳳蝶科,Papilio demoleus,無尾鳳蝶,,2014,11,23,新店溪,299440,2768681,1
369,粉蝶科,Catopsilia pomona,銀紋淡黃蝶,,2014,11,23,新店溪,299440,2768681,1
370,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,299440,2768681,6
371,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,299524,2768375,1
372,蛺蝶科,Junonia almana,孔雀蛺蝶,,2014,11,23,新店溪,299524,2768375,1
373,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,299524,2768375,8
374,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,299529,2768068,7
375,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,299529,2768068,1
418,蛺蝶科,Polygonia c-aureum lunulata,黃蛺蝶,特有亞種,2014,11,23,新店溪,304021,2765693,2
377,粉蝶科,Catopsilia pomona,銀紋淡黃蝶,,2014,11,23,新店溪,299602,2767613,1
378,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,299602,2767613,8
379,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,299904,2767207,5
380,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,300400,2767422,8
82,蛺蝶科,Euploea eunice hobsoni,圓翅紫斑蝶,特有亞種,2014,5,26,新店溪,302604,2767988,1
83,蛺蝶科,Euploea eunice hobsoni,圓翅紫斑蝶,特有亞種,2014,5,26,新店溪,299431,2768028,2
